feature,median_importance,q1,q3,iqr
H_policy_mean,0.2614993425508334,0.25834666677547613,0.26448836163143385,0.0061416948559577245
C_policy_mean,0.15965982317986155,0.1582795702742713,0.16158670708904718,0.003307136814775874
week_number,0.15776686756343097,0.15531553656757682,0.1597056773390479,0.004390140771471068
age,0.07937871146287036,0.07919359801070096,0.07957240003530522,0.0003788020246042606
i2_health,0.05824966456486437,0.05807019569982892,0.058446780634457324,0.0003765849346284017
r1_1,0.04439937524274274,0.044233990266059176,0.04459081270784526,0.0003568224417860866
cantril_ladder,0.04091848656956676,0.04075577889137302,0.04107882813679683,0.00032304924542380514
r1_2,0.0359722413697625,0.035802540616491095,0.03612812636993284,0.0003255857534417428
household_size,0.027573041732537842,0.02749498590067227,0.027695971508461294,0.00020098560778902472
E_policy_mean,0.018113566580241054,0.017369921911055658,0.018818093067076463,0.0014481711560208055
i11_health_Very willing,0.010518310158563336,0.010435157750958775,0.01060310348351238,0.00016794573255360552
gender_Male,0.009818945937430542,0.009737694759743506,0.00989071002139151,0.00015301526164800475
d1_comorbidities_Yes,0.009091358986128213,0.009027978941138763,0.0091971943815878,0.00016921544044903696
WCRex2_A lot of confidence,0.00896746349812829,0.008883345160682964,0.009043572674313431,0.00016022751363046692
i9_health_Yes,0.008174158677749618,0.008120901316129695,0.008247487159986668,0.00012658584385697239
employment_status_Part time employment,0.00792260594811903,0.007843422746106686,0.007998248084997245,0.00015482533889055877
WCRex1_Somewhat well,0.007501320151146214,0.007428835314839187,0.007572295345126847,0.00014346003028766017
WCRex1_Very well,0.006709329506123848,0.006646648385574147,0.006761195840730354,0.00011454745515620656
WCRex2_Not very much confidence,0.006569477658280417,0.006521908327815209,0.006635058903521416,0.0001131505757062069
i11_health_Somewhat willing,0.0065344481113836055,0.006447550657216217,0.006591267558382874,0.00014371690116665725
employment_status_Not working,0.006352633419404358,0.006307687226131126,0.006404544459642775,9.685723351164893e-05
employment_status_Retired,0.005607512219570794,0.0055411667519980265,0.005699598574036962,0.00015843182203893573
WCRex1_Very badly,0.005423098820763491,0.005364695312296462,0.005470005542412174,0.00010531023011571203
employment_status_Unemployed,0.005213576084176738,0.005160312890269479,0.005254294092655288,9.398120238580856e-05
i9_health_Not sure,0.003909027239429999,0.0038641262309921896,0.003958439345547323,9.431311455513312e-05
WCRex2_No confidence at all,0.0034374315723586127,0.0033663068302018646,0.0034797204253624214,0.00011341359516055683
i11_health_Very unwilling,0.003297406547164217,0.0032471813242113874,0.0033612911305932096,0.00011410980638182225
i11_health_Somewhat unwilling,0.0013267853888780394,0.0012958918428904764,0.0013491138836934902,5.322204080301387e-05
i11_health_Not sure,0.0002285898514334709,0.00021715295500836882,0.00023808622266574626,2.0933267657377433e-05
