feature,median_importance,q1,q3,iqr
C_policy_mean,0.14163125695283474,0.1404734368033563,0.14279903898662277,0.0023256021832664675
i2_health,0.13679818947177724,0.13621447587819321,0.13729062135931483,0.0010761454811216153
age,0.08774930853560639,0.08752167539014565,0.08794865683848198,0.0004269814483363332
H_policy_mean,0.0873352724006544,0.08663100422872747,0.08820453086286299,0.0015735266341355275
week_number,0.08508233218556012,0.084573235908171,0.08550015933192368,0.0009269234237526819
r1_1,0.07657955005271688,0.07635284733241517,0.07688623126113288,0.0005333839287177122
cantril_ladder,0.05538355325485905,0.05526070529283444,0.05557832650988563,0.00031762121705119356
r1_2,0.04856289668360445,0.04841654037094262,0.0487333029241359,0.00031676255319328106
household_size,0.04338838285685609,0.04324654994429841,0.043590772127395636,0.0003442221830972231
E_policy_mean,0.022020693730829863,0.021731952857700097,0.022296041546605114,0.0005640886889050171
i11_health_Very willing,0.02090739517086868,0.020719794736136794,0.021077197453398706,0.0003574027172619128
i9_health_Yes,0.018157112672770807,0.017984646394112694,0.018306497654397715,0.0003218512602850207
gender_Male,0.016753191600359565,0.016649894312395715,0.016858445087415398,0.00020855077501968217
d1_comorbidities_Yes,0.015754250285745397,0.015681157603113956,0.015840237415917155,0.00015907981280319922
WCRex1_Somewhat well,0.014169528844579801,0.014068151555306694,0.01425571240918189,0.00018756085387519605
WCRex2_A lot of confidence,0.014100170085102233,0.0140160939587868,0.014194515010791817,0.0001784210520050164
employment_status_Part time employment,0.013911053253753313,0.01379819377884341,0.013998417874946332,0.00020022409610292134
WCRex1_Very well,0.012395867527162633,0.012324977110442196,0.012454517668961915,0.00012954055851971923
WCRex2_Not very much confidence,0.011064387032682772,0.01099461871938314,0.011133629514980805,0.00013901079559766605
i9_health_Not sure,0.010980260555269076,0.0108445420976102,0.01113436550341369,0.0002898234058034896
employment_status_Retired,0.010930224865200611,0.010850693947962554,0.011021261210496711,0.00017056726253415755
employment_status_Not working,0.010231279627342122,0.010153611488147904,0.010286745231072973,0.00013313374292506924
i11_health_Somewhat willing,0.009770668398784823,0.009710477578320454,0.009860918101682308,0.0001504405233618538
employment_status_Unemployed,0.00964885137375587,0.009573730351945505,0.009703844289588337,0.00013011393764283258
WCRex1_Very badly,0.008553887439083526,0.008495339545545115,0.008616259404335646,0.00012091985879053059
WCRex2_No confidence at all,0.006414994499717752,0.006343926345243999,0.006472078373901066,0.00012815202865706747
i11_health_Very unwilling,0.006150862814705426,0.006002152462884278,0.00625696393017944,0.0002548114672951624
i11_health_Somewhat unwilling,0.0037021601670304987,0.0036530891757671088,0.0037582411723746357,0.00010515199660752692
i11_health_Not sure,0.0016929231610276689,0.0016709305876938191,0.001718697649974988,4.776706228116893e-05
