feature,median_importance,q1,q3,iqr
week_number,0.3404083885237247,0.33324516896781337,0.3459518855980336,0.012706716630220216
H_policy_mean,0.20533557587566698,0.19909095578789848,0.21118230699574816,0.012091351207849682
C_policy_mean,0.1474724888600199,0.14364553877554262,0.15044640838497186,0.006800869609429244
age,0.04931197526000835,0.04866372306434676,0.04994147830776599,0.0012777552434192277
i2_health,0.0469186266861186,0.046338644880612616,0.047368163431803625,0.0010295185511910096
r1_1,0.040083265866355376,0.03963705004318932,0.04070166456884694,0.00106461452565762
r1_2,0.036100750773792545,0.035204983738214526,0.03706507208893714,0.0018600883507226135
i11_health_Very willing,0.027898669805021696,0.027413687283966592,0.028248594315576858,0.0008349070316102658
cantril_ladder,0.01736883212981872,0.01702198257769867,0.017729362735307463,0.0007073801576087911
household_size,0.01624194037073616,0.015888590494447716,0.016601726020540587,0.0007131355260928708
i9_health_Yes,0.010441162815795896,0.01010755019420356,0.010766665155552402,0.0006591149613488431
E_policy_mean,0.009874475976190965,0.008940734433908096,0.01062511939714162,0.0016843849632335248
WCRex1_Somewhat well,0.007977070507726391,0.007733594621065649,0.008272684240654488,0.000539089619588839
gender_Male,0.00778691692674267,0.00756618242145175,0.007928593672750617,0.0003624112512988671
d1_comorbidities_Yes,0.005352761511283527,0.005169283388340282,0.005609990952105692,0.0004407075637654096
i11_health_Somewhat willing,0.005306198234380294,0.005067578820508636,0.00554701194730396,0.00047943312679532384
WCRex2_A lot of confidence,0.0037328641369976804,0.003563372634790426,0.003973271294192838,0.00040989865940241213
i9_health_Not sure,0.0035422750895684075,0.003313122575070096,0.003783906899473884,0.0004707843244037878
WCRex2_No confidence at all,0.0033219536167379366,0.0031405685249740432,0.003499015490068852,0.00035844696509480887
employment_status_Retired,0.0030839637146812967,0.0029461620665877783,0.003231474488375452,0.0002853124217876736
WCRex1_Very well,0.002899584929100819,0.002714150671030818,0.0030271757013417755,0.0003130250303109575
employment_status_Part time employment,0.0027639083891670456,0.0026341491004007013,0.002918019990048073,0.0002838708896473717
WCRex1_Very badly,0.0026479435651521367,0.0024986001320491764,0.0028565215881041555,0.00035792145605497913
WCRex2_Not very much confidence,0.0025774377509003156,0.002468481394028392,0.0026996709474422583,0.00023118955341386608
i11_health_Somewhat unwilling,0.0009850029488095058,0.0008620939910827707,0.0010942041242813212,0.0002321101331985505
employment_status_Not working,0.0007182931310854759,0.0006527637178347232,0.0007965564261870765,0.00014379270835235334
employment_status_Unemployed,0.000658368816776114,0.0005532894267967785,0.0007413503643815232,0.00018806093758474474
i11_health_Very unwilling,0.0001390331701536703,0.0001052079850088671,0.00017693779880394088,7.172981379507379e-05
i11_health_Not sure,0.0,0.0,0.0,0.0
