feature,median_importance,q1,q3,iqr
i2_health,0.15666403591835734,0.15497339322471676,0.15810796710225333,0.003134573877536573
r1_1,0.12317800563303638,0.12184117379838272,0.1247922895033306,0.002951115704947882
week_number,0.11409904883264865,0.11232606790743849,0.11595500997507255,0.003628942067634061
C_policy_mean,0.08200428373347594,0.08082703733687291,0.0836521284816783,0.0028250911448053917
age,0.07867468141840896,0.07742923296539574,0.0792023749558041,0.0017731419904083584
H_policy_mean,0.0784141630280685,0.07672307115846082,0.08002754451471417,0.0033044733562533485
i11_health_Very willing,0.0516871485081314,0.05043639112951749,0.052752239511068,0.0023158483815505088
r1_2,0.05059804827566419,0.04980941460820436,0.0515307115484611,0.0017212969402567446
cantril_ladder,0.042826047353809335,0.04204432578500868,0.04340465666442517,0.0013603308794164909
household_size,0.03508110351008527,0.03453707181578167,0.03561233938709175,0.0010752675713100804
i9_health_Yes,0.0271144609054283,0.026479225830666378,0.027823808614002025,0.0013445827833356468
i9_health_Not sure,0.01836664139797191,0.017514212596463817,0.018960583505942246,0.001446370909478429
gender_Male,0.016251852633177938,0.015952856093103353,0.016721108583809305,0.0007682524907059521
i11_health_Somewhat willing,0.015913284864042008,0.015304309537952821,0.016324322489078714,0.0010200129511258923
d1_comorbidities_Yes,0.014508205835700283,0.014129529381782786,0.014763076163913204,0.0006335467821304182
WCRex1_Somewhat well,0.01450449595538121,0.014112309394000008,0.014958010395983018,0.00084570100198301
employment_status_Part time employment,0.009916358211281538,0.00966095879571063,0.010255308015509288,0.0005943492197986577
WCRex2_A lot of confidence,0.009103370432551796,0.00881648793283538,0.009429251310390041,0.0006127633775546617
E_policy_mean,0.008828028668767526,0.008541865315444073,0.009309762900566674,0.0007678975851226014
WCRex1_Very well,0.008730715588289754,0.008431232238276968,0.009005940887531958,0.0005747086492549902
employment_status_Retired,0.008408296310363661,0.008103377309019572,0.00864577523868693,0.000542397929667357
WCRex2_Not very much confidence,0.008293037780130158,0.008062454109759589,0.008613114532086132,0.0005506604223265432
WCRex1_Very badly,0.007027478862051962,0.006779509780712751,0.007304914935286804,0.0005254051545740528
employment_status_Not working,0.003958280089151886,0.0037892078921514926,0.004154308485976627,0.0003651005938251342
WCRex2_No confidence at all,0.0039201827609415905,0.0037094646214750875,0.004151637426064855,0.00044217280458976743
i11_health_Very unwilling,0.0038825150683504503,0.0035489704811414264,0.0041816602894556645,0.0006326898083142381
i11_health_Somewhat unwilling,0.0037915837920435456,0.003501787107459033,0.0040308258114286925,0.0005290387039696594
employment_status_Unemployed,0.003747373356201832,0.0035465351496535864,0.003941251876430752,0.00039471672677716604
i11_health_Not sure,0.0001355476450176463,0.00010956603025355438,0.0001765989358596236,6.703290560606922e-05
