feature,median_importance,q1,q3,iqr
H_policy_mean,0.24978659651131946,0.24643087528489366,0.2527778388255999,0.006346963540706241
week_number,0.20186935281482787,0.19914220146283412,0.20447547839823713,0.005333276935403003
age,0.08375058393680507,0.08354646199444238,0.08403147228672596,0.0004850102922835803
C_policy_mean,0.07760914480710251,0.07648753798733988,0.07862602800726606,0.0021384900199261786
i2_health,0.06005118722127066,0.05986367092690515,0.06025740938686111,0.00039373845995595985
r1_1,0.04965422398033935,0.0494861531908273,0.04982446247888355,0.00033830928805624744
cantril_ladder,0.042263644123964536,0.0421152838371192,0.042469556348504425,0.00035427251138522853
r1_2,0.040051500261757605,0.03962695362488808,0.040471681862781946,0.0008447282378938673
E_policy_mean,0.03571083946594228,0.03534808300575618,0.03609671831575085,0.0007486353099946663
household_size,0.02944908454533484,0.029335823011625843,0.02957556585302407,0.00023974284139822652
i11_health_Very willing,0.01644274363378892,0.016324393533716237,0.01654765091159762,0.00022325737788138345
d1_comorbidities_Yes,0.010749471561428126,0.010655027205208046,0.010848658496572142,0.0001936312913640957
gender_Male,0.010088092989701161,0.010017945902140063,0.01018519534894273,0.0001672494468026673
i9_health_Yes,0.009057654855862136,0.008972435425534872,0.009161632011050054,0.00018919658551518233
WCRex1_Somewhat well,0.008323759668429714,0.008269347934268829,0.008385564737382544,0.000116216803113715
employment_status_Part time employment,0.007730063426699734,0.007662405742047324,0.007787232153293383,0.00012482641124605866
WCRex2_A lot of confidence,0.007682150085083604,0.007603665526146823,0.007744354921344502,0.00014068939519767867
i11_health_Somewhat willing,0.007240448550065527,0.007170327995951885,0.007328275378357586,0.00015794738240570115
WCRex2_Not very much confidence,0.0066957113978159295,0.006628838858834275,0.006757081993914904,0.00012824313508062908
WCRex1_Very well,0.006583002858537541,0.006525765584503982,0.006652466649718248,0.00012670106521426618
employment_status_Retired,0.005712922703428344,0.005656852154845348,0.0057756916704977835,0.0001188395156524356
employment_status_Unemployed,0.005608407198858877,0.005545093479828239,0.0056617845277998295,0.0001166910479715906
employment_status_Not working,0.0054087117822399396,0.005350651334977465,0.0054711879939508086,0.00012053665897334385
WCRex1_Very badly,0.0051829451301161344,0.005111589339803007,0.005251236689294202,0.00013964734949119522
i11_health_Very unwilling,0.0051108907529218706,0.0050352569377961195,0.005201888572784903,0.00016663163498878333
i9_health_Not sure,0.005028441084068894,0.004964085264879787,0.005090431581197368,0.0001263463163175809
WCRex2_No confidence at all,0.004868636520551995,0.004803338324455557,0.00493769288147691,0.00013435455702135325
i11_health_Somewhat unwilling,0.0017241681983104504,0.0016789169118875261,0.001747982478673885,6.906556678635883e-05
i11_health_Not sure,0.0007656705829943486,0.000744209095481058,0.0007846921273348367,4.048303185377874e-05
