feature,median_importance,q1,q3,iqr
i2_health,0.13292956567322742,0.13265383470114278,0.13319145839670848,0.0005376236955657032
r1_1,0.10854865230837604,0.10821805377486225,0.10882286157618895,0.0006048078013266983
age,0.1016589282982999,0.10142563146539917,0.10189184272577995,0.00046621126038078053
week_number,0.10014007456783444,0.0996113842769304,0.10062710775643272,0.001015723479502309
H_policy_mean,0.07825564299922053,0.07788588442674868,0.07859690667569619,0.0007110222489475071
C_policy_mean,0.06031077487761083,0.06013645660436838,0.06061928454309874,0.00048282793873036245
cantril_ladder,0.05920694932017217,0.059023742871931614,0.05939111792884143,0.0003673750569098133
r1_2,0.05816041257189147,0.05793096656587331,0.05838011656519386,0.0004491499993205528
household_size,0.04690134177310302,0.04673965701553984,0.04705059115045733,0.00031093413491749267
E_policy_mean,0.02440617196306142,0.0242912390199296,0.024565048504135854,0.0002738094842062548
i11_health_Very willing,0.023897214460323783,0.02373719927670396,0.024105060896133512,0.00036786161942955337
i9_health_Yes,0.022359683713442907,0.02225899702726841,0.02249119957044678,0.00023220254317837113
gender_Male,0.020955452249520307,0.02085712316964136,0.02110329965127209,0.0002461764816307291
d1_comorbidities_Yes,0.0188102225713691,0.01871827236163323,0.018914858252484554,0.0001965858908513224
WCRex1_Somewhat well,0.017728803798799687,0.017642515894069098,0.017810441969593943,0.0001679260755248456
employment_status_Part time employment,0.015019479759660302,0.014909959567653735,0.015159594692224797,0.0002496351245710616
WCRex2_A lot of confidence,0.014836106410143352,0.014740092353341621,0.01491058862028078,0.00017049626693915916
WCRex1_Very well,0.012350765023362346,0.012249674710058535,0.012438316534901194,0.00018864182484265926
i9_health_Not sure,0.011831670573569077,0.011656669917987628,0.011982777026700284,0.000326107108712656
employment_status_Retired,0.011320232532779431,0.011236654005097713,0.01140832826109241,0.0001716742559946978
WCRex2_Not very much confidence,0.01105625208104686,0.010981636937312621,0.011121162995505867,0.0001395260581932463
i11_health_Somewhat willing,0.010495406428007888,0.01039473205050377,0.010624970188602267,0.00023023813809849684
employment_status_Not working,0.00825469730705105,0.008192144469510419,0.008312578552162452,0.00012043408265203365
WCRex1_Very badly,0.008173277612967732,0.008076508340101388,0.008238329606090824,0.00016182126598943657
employment_status_Unemployed,0.007672137653929021,0.007627769452022719,0.007738157577344243,0.00011038812532152345
i11_health_Very unwilling,0.004849074329038712,0.004729870690328935,0.004941518639509155,0.00021164794918021937
WCRex2_No confidence at all,0.004651818311665828,0.004599934931537111,0.004690466425299986,9.05314937628748e-05
i11_health_Somewhat unwilling,0.004057627258454049,0.003994050724029082,0.004117995850902314,0.00012394512687323184
i11_health_Not sure,0.0011955952053769184,0.0011666587694107416,0.0012273296338027313,6.067086439198971e-05
