feature,median_importance,q1,q3,iqr
H_policy_mean,0.14647453,0.13924792,0.15358499,0.014337063
C_policy_mean,0.09290183,0.09008381,0.09674235,0.006658539
week_number,0.062694535,0.059821032,0.06528221,0.0054611787
E_policy_mean,0.061009176,0.055714637,0.067568846,0.011854209
i11_health_Very unwilling,0.051462546,0.05019332,0.05341509,0.003221769
r1_1,0.030833587,0.03045858,0.03141961,0.00096102804
i11_health_Very willing,0.030541085,0.029972833,0.031132033,0.0011592004
employment_status_Retired,0.027586794,0.027049795,0.02824097,0.0011911746
employment_status_Not working,0.027320959,0.02686236,0.027576398,0.00071403757
i2_health,0.026841713,0.02650158,0.027293563,0.0007919837
age,0.026506577,0.02618379,0.026888521,0.0007047318
i9_health_Not sure,0.026387433,0.025860794,0.026895914,0.0010351203
WCRex2_A lot of confidence,0.024460353,0.024105543,0.024812028,0.00070648454
r1_2,0.024436295,0.024128431,0.024640845,0.0005124137
WCRex2_No confidence at all,0.023868915,0.023310592,0.024241582,0.00093098916
cantril_ladder,0.023764769,0.023546647,0.024023548,0.0004769005
i9_health_Yes,0.023744969,0.02342308,0.024210185,0.0007871054
employment_status_Unemployed,0.02360946,0.023179974,0.023900906,0.0007209312
WCRex1_Very badly,0.023475353,0.023032894,0.023807218,0.00077432394
employment_status_Part time employment,0.023279388,0.022944007,0.023626462,0.00068245456
WCRex1_Very well,0.023101471,0.02282338,0.023441466,0.00061808527
i11_health_Somewhat willing,0.023049371,0.022797894,0.02344242,0.0006445255
i11_health_Somewhat unwilling,0.022526832,0.022118814,0.023232158,0.001113344
household_size,0.022506904,0.022225514,0.022733826,0.00050831214
d1_comorbidities_Yes,0.022253636,0.021879677,0.022635141,0.00075546466
WCRex2_Not very much confidence,0.022236347,0.02196869,0.022534948,0.00056625716
gender_Male,0.021303605,0.021035802,0.021563811,0.0005280096
i11_health_Not sure,0.02009466,0.018847926,0.021777239,0.002929313
WCRex1_Somewhat well,0.019291628,0.019017104,0.019634595,0.0006174911
