feature,median_importance,q1,q3,iqr
C_policy_mean,0.113155596,0.10918253,0.117857665,0.008675136
i11_health_Very willing,0.07404721,0.07089281,0.07646424,0.0055714324
i2_health,0.06685802,0.06523128,0.06911529,0.00388401
r1_1,0.061846036,0.06006355,0.0636363,0.0035727546
H_policy_mean,0.05844717,0.05585379,0.062865354,0.0070115626
i9_health_Yes,0.049454406,0.047739115,0.051261935,0.0035228208
i11_health_Very unwilling,0.044125043,0.042314574,0.04600153,0.003686957
i9_health_Not sure,0.03848104,0.036700778,0.04002102,0.0033202432
E_policy_mean,0.03675311,0.03214273,0.04298109,0.01083836
week_number,0.034787178,0.033716176,0.036214594,0.002498418
i11_health_Somewhat willing,0.027218206,0.026159935,0.028147131,0.0019871965
r1_2,0.024703568,0.02408243,0.025077714,0.000995284
gender_Male,0.024180982,0.02375657,0.024803149,0.0010465793
i11_health_Somewhat unwilling,0.02384664,0.02304087,0.02472968,0.0016888101
employment_status_Not working,0.023661714,0.022709345,0.024448976,0.0017396305
WCRex1_Very well,0.023633227,0.023008721,0.024392825,0.0013841037
age,0.023578273,0.023205109,0.02391909,0.0007139817
cantril_ladder,0.023173604,0.02284313,0.023559324,0.0007161945
WCRex2_No confidence at all,0.023124512,0.02225935,0.024180446,0.001921095
WCRex2_A lot of confidence,0.022824224,0.022294747,0.023455802,0.0011610556
household_size,0.022266643,0.021874312,0.022619437,0.0007451251
employment_status_Unemployed,0.021264762,0.020743087,0.021976044,0.0012329575
employment_status_Part time employment,0.020809008,0.020360606,0.021368448,0.0010078419
d1_comorbidities_Yes,0.020519447,0.02002782,0.021222739,0.0011949185
employment_status_Retired,0.020156004,0.019405333,0.02071343,0.0013080966
WCRex1_Very badly,0.019460656,0.018936548,0.020195741,0.0012591928
WCRex2_Not very much confidence,0.019269917,0.018769182,0.019788083,0.0010189004
WCRex1_Somewhat well,0.018474415,0.017838618,0.018960346,0.0011217277
i11_health_Not sure,0.017160024,0.016452359,0.018150471,0.0016981121
