feature,median_importance,q1,q3,iqr
week_number,0.15547767,0.14779423,0.1639891,0.016194865
H_policy_mean,0.11540723,0.109581254,0.123828195,0.014246941
E_policy_mean,0.100419745,0.087606415,0.11252485,0.024918437
C_policy_mean,0.086471826,0.08328191,0.09021358,0.00693167
i11_health_Very willing,0.057984203,0.0558667,0.059803843,0.003937144
r1_2,0.0361012,0.034502342,0.037266515,0.0027641729
i11_health_Somewhat willing,0.027248023,0.025101194,0.028615927,0.0035147332
r1_1,0.026917659,0.026360579,0.027465135,0.001104556
i9_health_Yes,0.026656503,0.025606126,0.027666364,0.0020602383
i9_health_Not sure,0.02558761,0.024417983,0.026962237,0.002544254
WCRex1_Very well,0.024358876,0.02186412,0.027824473,0.0059603527
i11_health_Somewhat unwilling,0.023309642,0.021759197,0.024598164,0.0028389674
age,0.02195397,0.02157887,0.022419618,0.0008407477
WCRex2_No confidence at all,0.021205256,0.020352615,0.022317078,0.001964463
i2_health,0.02099429,0.02060198,0.021590725,0.0009887442
WCRex1_Very badly,0.020341769,0.019378565,0.02127319,0.0018946249
employment_status_Not working,0.01951968,0.01829238,0.020449208,0.0021568276
i11_health_Very unwilling,0.019301392,0.018085578,0.02035678,0.0022712015
WCRex2_A lot of confidence,0.017974555,0.016727902,0.018947382,0.0022194795
WCRex1_Somewhat well,0.017062984,0.01633419,0.01763395,0.0012997612
employment_status_Retired,0.017057918,0.016136685,0.01811054,0.0019738544
gender_Male,0.015843775,0.015437026,0.016370963,0.0009339377
WCRex2_Not very much confidence,0.0153017435,0.014257802,0.016129052,0.0018712506
employment_status_Unemployed,0.014847692,0.014098035,0.015687445,0.00158941
employment_status_Part time employment,0.014733365,0.014243027,0.015565581,0.0013225535
cantril_ladder,0.014390752,0.013919469,0.014776118,0.00085664913
household_size,0.014238998,0.013915187,0.014580321,0.0006651338
i11_health_Not sure,0.014138279,0.012737408,0.015978495,0.0032410864
d1_comorbidities_Yes,0.012639647,0.012276886,0.013071745,0.0007948587
