feature,median_importance,q1,q3,iqr
r1_1,0.08786203,0.08508515,0.08995986,0.0048747063
i11_health_Very willing,0.08502113,0.08233554,0.0874664,0.005130857
i2_health,0.07896766,0.07700516,0.08126503,0.0042598695
week_number,0.07347563,0.07118433,0.07571006,0.0045257285
i9_health_Yes,0.059747983,0.05656016,0.061877664,0.0053175054
i9_health_Not sure,0.046973057,0.043633755,0.050518587,0.006884832
C_policy_mean,0.04656981,0.04390376,0.049180597,0.0052768365
E_policy_mean,0.035397656,0.03097156,0.039199427,0.008227866
H_policy_mean,0.03434416,0.032597538,0.03581104,0.0032135025
WCRex2_No confidence at all,0.03370352,0.032009114,0.035847135,0.0038380213
d1_comorbidities_Yes,0.029340686,0.024909927,0.033779528,0.008869601
r1_2,0.02876141,0.026879627,0.030251883,0.0033722557
age,0.02810353,0.027325582,0.029049316,0.0017237347
household_size,0.025669288,0.024816763,0.026462106,0.0016453434
WCRex1_Very badly,0.025244497,0.023693684,0.02670159,0.0030079056
WCRex1_Very well,0.024711862,0.02175022,0.03048789,0.00873767
gender_Male,0.024314437,0.022309247,0.026954263,0.004645016
cantril_ladder,0.023884254,0.023069575,0.024623068,0.0015534926
employment_status_Retired,0.023057494,0.021186762,0.025437523,0.004250761
WCRex1_Somewhat well,0.022843145,0.021147422,0.024465827,0.0033184048
i11_health_Somewhat willing,0.022364631,0.019282933,0.026544478,0.0072615445
WCRex2_Not very much confidence,0.02179842,0.019446174,0.025303772,0.005857598
i11_health_Somewhat unwilling,0.021670755,0.017056609,0.025001667,0.007945059
employment_status_Unemployed,0.021318626,0.018857522,0.024497103,0.005639581
employment_status_Part time employment,0.02068492,0.01883294,0.02173857,0.0029056296
employment_status_Not working,0.017657183,0.015465457,0.020034475,0.0045690183
i11_health_Very unwilling,0.016345615,0.013611965,0.018633397,0.0050214324
WCRex2_A lot of confidence,0.015177181,0.011938015,0.01891214,0.0069741253
i11_health_Not sure,0.0,0.0,0.0,0.0
