feature,median_importance,q1,q3,iqr
H_policy_mean,0.17902647,0.17210901,0.18804108,0.015932068
week_number,0.09961127,0.09542497,0.10397265,0.008547679
E_policy_mean,0.070861295,0.06706139,0.07620683,0.009145446
C_policy_mean,0.06003865,0.057696313,0.06308016,0.005383849
i11_health_Very unwilling,0.0493681,0.04785283,0.05144404,0.0035912097
i11_health_Very willing,0.043646537,0.04249956,0.044891004,0.0023914427
r1_1,0.03517299,0.034471683,0.036347,0.0018753186
i9_health_Not sure,0.02613327,0.025596112,0.026584452,0.00098834
r1_2,0.025425486,0.024691852,0.02653299,0.001841139
WCRex2_No confidence at all,0.025044532,0.024452105,0.025667641,0.0012155361
age,0.024480239,0.024094597,0.024924023,0.0008294266
i2_health,0.02282444,0.02244055,0.023073133,0.00063258223
i11_health_Somewhat willing,0.02173388,0.021174522,0.02224571,0.0010711886
employment_status_Retired,0.021606226,0.02095211,0.022522938,0.0015708283
WCRex1_Very well,0.021515954,0.02047933,0.022450116,0.0019707847
employment_status_Not working,0.021409176,0.02096314,0.021782516,0.00081937574
d1_comorbidities_Yes,0.020853706,0.020373318,0.021456895,0.001083577
cantril_ladder,0.020499455,0.020288657,0.020768447,0.00047978945
i9_health_Yes,0.020132061,0.019867864,0.020505488,0.0006376244
i11_health_Somewhat unwilling,0.019796493,0.019293765,0.020171367,0.000877602
WCRex1_Very badly,0.019684106,0.019350613,0.0201368,0.0007861871
household_size,0.019643432,0.019424431,0.019939905,0.000515474
i11_health_Not sure,0.01954354,0.01885103,0.02033526,0.0014842302
employment_status_Unemployed,0.01931392,0.018943455,0.019609997,0.000666542
WCRex2_A lot of confidence,0.019265426,0.018748756,0.01973594,0.0009871833
employment_status_Part time employment,0.01824161,0.017990448,0.018609859,0.00061941147
WCRex2_Not very much confidence,0.0179766,0.017636737,0.018329926,0.000693189
gender_Male,0.017095152,0.016844757,0.017285572,0.00044081546
WCRex1_Somewhat well,0.016558787,0.016206745,0.01682137,0.00061462447
