feature,median_importance,q1,q3,iqr
r1_1,0.11853143,0.11469549,0.12242562,0.007730134
i11_health_Very willing,0.0786448,0.07568471,0.08154038,0.005855672
i9_health_Yes,0.074015856,0.07188395,0.07661576,0.0047318116
i2_health,0.06902135,0.06728056,0.07016301,0.0028824508
H_policy_mean,0.052609764,0.051226214,0.053552553,0.0023263395
week_number,0.047699116,0.046259888,0.04913138,0.002871491
i9_health_Not sure,0.042854995,0.040539414,0.045020245,0.0044808313
i11_health_Very unwilling,0.035853155,0.033885557,0.039492037,0.00560648
C_policy_mean,0.035216726,0.034378562,0.03612405,0.0017454885
i11_health_Somewhat willing,0.03192076,0.029798932,0.033740696,0.003941763
E_policy_mean,0.0278259,0.026953116,0.028913498,0.0019603819
r1_2,0.027565658,0.026975818,0.028358238,0.0013824198
i11_health_Somewhat unwilling,0.026898863,0.025267694,0.027739633,0.0024719387
gender_Male,0.02575377,0.025005572,0.02638276,0.0013771877
WCRex1_Very badly,0.024978433,0.023643974,0.025880061,0.0022360869
age,0.022845434,0.022577649,0.023237001,0.00065935217
employment_status_Retired,0.021444611,0.020792356,0.022598946,0.0018065907
employment_status_Part time employment,0.020878974,0.020140685,0.021458302,0.0013176166
employment_status_Not working,0.02055945,0.019459058,0.021078903,0.0016198456
cantril_ladder,0.020516228,0.020182328,0.020873688,0.00069135986
employment_status_Unemployed,0.020245176,0.01934171,0.020839516,0.001497807
WCRex1_Somewhat well,0.020100066,0.019461444,0.020809403,0.001347959
d1_comorbidities_Yes,0.020011216,0.019272357,0.020733802,0.0014614444
WCRex1_Very well,0.019999793,0.019073132,0.020840144,0.0017670114
WCRex2_A lot of confidence,0.019341916,0.01863288,0.02020977,0.0015768912
household_size,0.019098809,0.018817503,0.01954263,0.00072512776
WCRex2_Not very much confidence,0.019014776,0.018228745,0.019740343,0.001511598
WCRex2_No confidence at all,0.01828945,0.017320298,0.018903024,0.0015827268
i11_health_Not sure,0.016860124,0.016002432,0.017555712,0.0015532803
